"技術担当
部署（FY20 ）","技術担当
部署(FY21)",案件責任,営業/開発担当者,確度,プロジェクト名,S/L,AOコード,AOコード名,セグメント,請求先,内外,カテゴリ,ヒト/モノ,新規・継続,サービスCD,サービス名,売上1月,外注費1月,仕入1月,原価経費1月,社内人件費1月,売上総利益1月,率1月,売上2月,外注費2月,仕入2月,原価経費2月,社内人件費2月,売上総利益2月,率2月,売上3月,外注費3月,仕入3月,原価経費3月,社内人件費3月,売上総利益3月,率3月,売上4月,外注費4月,仕入4月,原価経費4月,社内人件費4月,売上総利益4月,率4月,売上5月,外注費5月,仕入5月,原価経費5月,社内人件費5月,売上総利益5月,率5月,売上6月,外注費6月,仕入6月,原価経費6月,社内人件費6月,売上総利益6月,率6月,売上7月,外注費7月,仕入7月,原価経費7月,社内人件費7月,売上総利益7月,率7月,売上8月,外注費8月,仕入8月,原価経費8月,社内人件費8月,売上総利益8月,率8月,売上9月,外注費9月,仕入9月,原価経費9月,社内人件費9月,売上総利益9月,率9月,売上10月,外注費10月,仕入10月,原価経費10月,社内人件費10月,売上総利益10月,率10月,売上11月,外注費11月,仕入11月,原価経費11月,社内人件費11月,売上総利益11月,率11月,売上12月,外注費12月,仕入12月,原価経費12月,社内人件費12月,売上総利益12月,率12月
ＰＦ技,ＰＦ１,営業,堀尾,C0,東京インキ様 DBサーバ運用,2b 個別案件型システム開発保守サービス,201,インフラサービス,EIT,ISID,内,インフラ,ヒト,新規,B7D,BSその他,0,0,0,0,0,0,0,10000,0,0,0,0,10000,1,10000,0,0,0,0,10000,1,10000,0,0,0,4133,5867,0.5867,10000,0,0,0,27602,-17602,-1.7602,22000,0,0,0,17600,4400,0.2,22000,0,0,0,17600,4400,0.2,22000,0,0,0,17600,4400,0.2,22000,0,0,0,17600,4400,0.2,22000,0,0,0,17600,4400,0.2,22000,0,0,0,17600,4400,0.2,22000,0,0,0,17600,4400,0.2
ＰＦ技,ＰＦ１,開発,松本,B0,DBJインフラ統合保守[DBJ：松木](ISIDIT商流),2b 個別案件型システム開発保守サービス,201,インフラサービス,金融,ISID-IT,内,インフラ,ヒト,継続,F41,IntraLinkなど上記以外,1500000,0,0,0,1468467,31533,0.021022,837000,0,0,0,774244,62756,0.0749773,1500000,0,0,0,1337422,162578,0.108385333,1530000,0,0,0,1402324,127676,0.083448366,1530000,0,0,0,1209076,320924,0.209754248,1530000,0,0,0,1360000,170000,0.111111111,1530000,0,0,0,1360000,170000,0.111111111,1530000,0,0,0,1360000,170000,0.111111111,1530000,0,0,0,1360000,170000,0.111111111,1530000,0,0,0,1360000,170000,0.111111111,1530000,0,0,0,1360000,170000,0.111111111,1530000,0,0,0,1360000,170000,0.111111111
ＰＦ技,ＰＦ１,開発,松本,A0,ISID CIT事業部向け　花王様CRMインフラ保守運用,5b ｾﾝﾀｰ利用型運用保守サービス,201,インフラサービス,CIT,ISID,内,インフラ,ヒト,継続,C63,ISID独自 ISID,4902000,2409139,,,1001881,1490980,0.274,4902000,2409751,0,0,1010368,1481881,0.302301306,4902000,2412602,0,0,924314,1565084,0.319274582,0,0,0,0,0,0,0,0,0,,,0,0,0,13998000,7530000,,,2850000,3618000,0.258465495,0,0,,,0,0,0,0,0,,,0,0,0,13980000,7200000,,,2850000,3930000,0.28111588,0,0,,,0,0,0,0,0,,,0,0,0,13980000,7200000,,,2850000,3930000,0.28111588
ＰＦ技,ＰＦ１,営業,安原,C0,セブン銀行　　TC更改　開発・連携テスト,2b 個別案件型システム開発保守サービス,201,インフラサービス,金融,ISID,内,インフラ,ヒト,新規,B7D,BSその他,0,0,0,,0,0,0,0,0,0,0,0,0,0,7520000,4782443,0,90748,1756508,890301,0.11839109,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
ＰＦ技,ＰＦ１,営業,安原,C0,セブン銀行　　TC更改案件　回線費用（月額）,6a 情報機器･その他ソフト販売,201,インフラサービス,金融,ISID,内,インフラ,モノ,新規,B7D,BSその他,2122000,,0,2002300,0,119700,0.056409048,2122000,0,0,2002300,0,119700,0.056409048,2122000,0,0,2002300,0,119700,0.056409048,2122000,0,0,2002300,0,119700,0.056409048,2122000,,0,2002300,0,119700,0.056409048,2122000,,2002300,,0,119700,0.056409048,2122000,,2002300,,0,119700,0.056409048,2122000,,2002300,,0,119700,0.056409048,2122000,,2002300,,0,119700,0.056409048,2122000,,2002300,,0,119700,0.056409048,2122000,,2002300,,0,119700,0.056409048,2122000,,2002300,,0,119700,0.056409048
ＰＦ技,ＰＦ１,営業,安原,C0,セブン銀行　　TC更改案件　NW機器保守,6b 情報機器･その他ソフト保守,201,インフラサービス,金融,ISID,内,インフラ,モノ,新規,B7D,BSその他,516032,,457371,,0,58661,0.113677059,357392,0,320833,0,0,36559,0.10229384,357392,0,320833,0,0,36559,0.10229384,357392,0,320833,0,0,36559,0.10229384,357392,,320833,,0,36559,0.10229384,357391,,321651.9,,0,35739.1,0.1,357391,,321651.9,,0,35739.1,0.1,357391,,321651.9,,0,35739.1,0.1,357391,,321651.9,,0,35739.1,0.1,357391,,321651.9,,0,35739.1,0.1,357391,,321651.9,,0,35739.1,0.1,357391,,321651.9,,0,35739.1,0.1
ＰＦ技,ＰＦ１,営業,安原,C1,セブン銀行　テレホンセンター更改保守作業,2b 個別案件型システム開発保守サービス,201,インフラサービス,金融,ISID,内,インフラ,ヒト,新規,B7D,BSその他,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,4320000,0,0,,3456000,864000,0.2,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
ＰＦ技,ＰＦ１,営業,安原,C1,セブン銀行　MS Officeライセンス,6a 情報機器･その他ソフト販売,201,インフラサービス,金融,ISID,内,インフラ,モノ,新規,E83,その他：IT商品、ハード等,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,144000,0,129600,,0,14400,0.1,0,,0,,0,0,0,0,,0,,0,0,0,0,,0,,0,0,0,0,,0,,0,0,0,0,,0,,0,0,0,0,,0,,0,0,0
ＰＦ技,ＰＦ１,営業,山下,A0,コニカミノルタ　　CAD on VDI（7次）　ヒト,5c 業務受託サービス,204,#N/A,ES,ISID,内,インフラ,ヒト,新規,E83,その他：IT商品、ハード等,0,0,0,,0,0,0,0,0,0,0,0,0,0,6536500,650000,0,154556,5341757,390187,0.059693567,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
ＰＦ技,ＰＦ１,営業,山下,D,コニカミノルタ　　CAD on VDI（8次）　ヒト,5c 業務受託サービス,204,#N/A,ES,ISID,内,インフラ,ヒト,新規,E83,その他：IT商品、ハード等,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,3000000,0,0,,2400000,600000,0.2,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
ＰＦ技,ＰＦ１,営業,山下,D,コニカミノルタ　　CAD on VDI（8次）　モノ,6a 情報機器･その他ソフト販売,204,#N/A,ES,ISID,内,インフラ,モノ,新規,E83,その他：IT商品、ハード等,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,10000000,0,9000000,,0,1000000,0.1,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
ＰＦ技,ＰＦ１,営業,山下,C0,コニカミノルタ　　CAD on VDI（7次）　機器廃棄,6a 情報機器･その他ソフト販売,204,#N/A,ES,ISID,内,インフラ,モノ,新規,E83,その他：IT商品、ハード等,0,0,0,,0,0,0,0,0,0,0,0,0,0,404000,360800,0,0,0,43200,0.106930693,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
ＰＦ技,ＰＦ１,営業,山下,A0,東芝府中　1月分構築　,5c 業務受託サービス,204,#N/A,ES,ISID,内,インフラ,ヒト,新規,E83,その他：IT商品、ハード等,0,0,0,,0,0,0,0,0,0,0,0,0,0,660000,0,0,0,645763,14237,0.021571212,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
ＰＦ技,ＰＦ１,営業,山下,C0,コニカミノルタ　　CAD on VDI　インシデント保守（2020年度受注分　2021/3まで）,5a 個別運用保守サービス,204,#N/A,ES,ISID,内,インフラ,ヒト,新規,E83,その他：IT商品、ハード等,36892,1441,0,3481,23918,8052,0.218258701,36892,1528,0,3487,17708,14169,0.384067006,36888,1031,0,4601,11906,19350,0.524560833,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
ＰＦ技,ＰＦ１,営業,山下,C0,コニカミノルタ　　CAD on VDI　インシデント保守（2021/4-2021/12）,5a 個別運用保守サービス,204,#N/A,ES,ISID,内,インフラ,ヒト,既存,E83,その他：IT商品、ハード等,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,36892,0,4953,,52365,-20426,-0.553670172,36892,1514,0,3502,26902,4974,0.134825979,36892,0,0,,29513.6,7378.4,0.2,36892,0,0,,29513.6,7378.4,0.2,36892,0,0,,29513.6,7378.4,0.2,36892,0,0,,29513.6,7378.4,0.2,36892,0,0,,29513.6,7378.4,0.2,36892,0,0,,29513.6,7378.4,0.2,36892,0,0,,29513.6,7378.4,0.2
ＰＦ技,ＰＦ１,営業,山下,C0,東芝小向　インシデント保守（2020年度受注分　2021/1-2021/12　1年）,5a 個別運用保守サービス,204,#N/A,ES,ISID,内,インフラ,ヒト,新規,E83,その他：IT商品、ハード等,25000,977,0,2359,16208,5456,0.21824,25000,1035,0,2363,12000,9602,0.38408,25000,698,0,3118,8069,13115,0.5246,25000,0,3358,,35487,-13845,-0.5538,25000,1026,0,2373,18229,3372,0.13488,25000,0,0,,20000,5000,0.2,25000,0,0,,20000,5000,0.2,25000,0,0,,20000,5000,0.2,25000,0,0,,20000,5000,0.2,25000,0,0,,20000,5000,0.2,25000,0,0,,20000,5000,0.2,25000,0,0,,20000,5000,0.2
ＰＦ技,ＰＦ１,営業,山下,C0,東芝府中　インシデント保守（2020年度受注分　2021/2まで）,5a 個別運用保守サービス,204,#N/A,ES,ISID,内,インフラ,ヒト,新規,E83,その他：IT商品、ハード等,25000,977,0,2359,16208,5456,0.21824,25000,1035,0,2363,12000,9602,0.38408,0,-205,0,505,-4023,3723,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
ＰＦ技,ＰＦ１,営業,山下,C0,東芝府中　インシデント保守（2021/4～）,5a 個別運用保守サービス,204,#N/A,ES,ISID,内,インフラ,ヒト,新規,E83,その他：IT商品、ハード等,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,25000,0,3397,,29638,-8035,-0.3214,25000,1006,0,2407,18173,3414,0.13656,25000,0,0,,20000,5000,0.2,25000,0,0,,20000,5000,0.2,25000,0,0,,20000,5000,0.2,25000,0,0,,20000,5000,0.2,25000,0,0,,20000,5000,0.2,25000,0,0,,20000,5000,0.2,25000,0,0,,20000,5000,0.2
ＰＦ技,ＰＦ１,営業,山下,D,東芝小向　CAD on　VDI拡張　ヒト,5c 業務受託サービス,204,#N/A,ES,ISID,内,インフラ,ヒト,新規,E83,その他：IT商品、ハード等,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,3000000,0,0,,2400000,600000,0.2,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
ＰＦ技,ＰＦ１,営業,山下,D,東芝小向　CAD on　VDI拡張　モノ,6a 情報機器･その他ソフト販売,204,#N/A,ES,ISID,内,インフラ,モノ,新規,E83,その他：IT商品、ハード等,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,10000000,0,9000000,,0,1000000,0.1,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
ＰＦ技,ＰＦ１,営業,山下,C0,カシオ　インシデント保守（2020年度受注分　2021/9まで）,5a 個別運用保守サービス,204,#N/A,ES,ISID,内,インフラ,ヒト,新規,E83,その他：IT商品、ハード等,25000,977,0,2359,16208,5456,0.21824,25000,1035,0,2363,12000,9602,0.38408,25000,698,0,3118,8069,13115,0.5246,25000,0,3358,,35487,-13845,-0.5538,25000,1026,0,2373,18229,3372,0.13488,25000,0,0,,20000,5000,0.2,25000,0,0,,20000,5000,0.2,25000,0,0,,20000,5000,0.2,25000,0,0,,20000,5000,0.2,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
ＰＦ技,ＰＦ１,営業,山下,C0,ロボコム＆FAコム　PC2台,6a 情報機器･その他ソフト販売,201,インフラサービス,ES,ISID,内,インフラ,モノ,新規,E83,その他：IT商品、ハード等,0,,0,,0,0,0,1126000,0,1013838,0,0,112162,0.099611012,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
ＰＦ技,ＰＦ１,営業,山下,C0,ISID向け　ノートPC用メモリ,6a 情報機器･その他ソフト販売,201,インフラサービス,ES,ISID,内,インフラ,モノ,新規,E83,その他：IT商品、ハード等,14000,,12545,,0,1455,0.103928571,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
ＰＦ技,ＰＦ１,営業,山下,C0,マツダ向け　ケーブル,6a 情報機器･その他ソフト販売,201,インフラサービス,ES,ISID,内,インフラ,モノ,新規,E83,その他：IT商品、ハード等,0,,0,,0,0,0,2200,0,1816,0,0,384,0.174545455,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
ＰＦ技,ＰＦ１,営業,山下,C0,マツダ向け　UNITYサブスクリプション（VR案件）,6a 情報機器･その他ソフト販売,201,インフラサービス,ES,ISID,内,インフラ,モノ,新規,E83,その他：IT商品、ハード等,0,,0,,0,0,0,0,0,0,0,0,0,0,16500,0,15675,0,0,825,0.05,16500,0,15675,,0,825,0.05,16500,0,15675,0,0,825,0.05,16500,0,15675,,0,825,0.05,16500,0,15675,,0,825,0.05,16500,0,15675,,0,825,0.05,16500,0,15675,,0,825,0.05,16500,0,15675,,0,825,0.05,16500,0,15675,,0,825,0.05,16500,0,15675,,0,825,0.05
ＰＦ技,ＰＦ１,営業,安原,C0,日清食品　Teamcenter環境構築　追加Arcserve,6a 情報機器･その他ソフト販売,201,インフラサービス,ES,ISID,内,インフラ,モノ,新規,E83,その他：IT商品、ハード等,59500,,56440,,0,3060,0.051428571,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
ＰＦ技,ＰＦ１,営業,安原,A0,日清食品　Teamcenter環境構築,5c 業務受託サービス,201,インフラサービス,ES,ISID,内,インフラ,ヒト,新規,B7D,BSその他,0,0,0,0,0,0,0,1722500,983034,0,13060,540458,185948,0.107952395,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
ＰＦ技,ＰＦ１,営業,安原,C1,日清食品　追加HW一式,6a 情報機器･その他ソフト販売,201,インフラサービス,ES,ISID,内,インフラ,モノ,新規,E83,その他：IT商品、ハード等,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,1601600,0,1410100,,0,191500,0.119567932,0,0,0,,0,0,0
ＰＦ技,ＰＦ１,営業,安原,C0,日清食品　Teamcenter環境構築追加作業,5c 業務受託サービス,201,インフラサービス,ES,ISID,内,インフラ,ヒト,新規,B7D,BSその他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000,0,0,0,70895,69105,0.493607143,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
ＰＦ技,ＰＦ１,営業,安原,C1,日清食品　Teamcenter環境ローカルディスク追加作業,5c 業務受託サービス,201,インフラサービス,ES,ISID,内,インフラ,ヒト,新規,B7D,BSその他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,1570000,0,0,,1256000,314000,0.2,0,0,0,,0,0,0
ＰＦ技,ＰＦ１,営業,堀尾,C0,東京海上　Citrix Gateway Enterprise VPNライセンス　2021/5,6a 情報機器･その他ソフト販売,204,VDI,BS,ISID,内,インフラ,モノ,新規,E83,その他：IT商品、ハード等,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,250000,0,212000,,0,38000,0.152,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
ＰＦ技,ＰＦ１,営業,堀尾,C1,東京海上　Citrix Gateway Enterprise VPNライセンス　2021/9,6a 情報機器･その他ソフト販売,204,VDI,BS,ISID,内,インフラ,モノ,新規,E83,その他：IT商品、ハード等,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,250000,0,215000,,0,35000,0.14,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
ＰＦ技,ＰＦ１,営業,中村,D,日野自動車　Citrix VirtualApp追加　ヒト,5c 業務受託サービス,204,#N/A,ES,ISID,内,インフラ,ヒト,新規,E83,その他：IT商品、ハード等,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,1800000,0,0,,1440000,360000,0.2
ＰＦ技,ＰＦ１,営業,山下,D,豊田合成　VTD,6a 情報機器･その他ソフト販売,204,#N/A,ES,ISID,内,インフラ,モノ,新規,E83,その他：IT商品、ハード等,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,1000000,0,900000,,0,100000,0.1,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
